variable_name,variable_description,data_type,enumerated_values,units,min,max
new_key,Unique key for the FTD record,String,,,,
down_syndrome_status,Down syndrome status of the participant,String,,,,
age_first_engagement,Age in days at first engagement,Integer,,,,
first_engagement_event,Type of first engagement event,String,,,,
vital_status,Vital status of the participant (e.g. Alive Deceased),String,,,,
age_last_vital_status,Age in days at last recorded vital status,Integer,,,,
study_code,Unique identifier for the study,String,,,,
participant_global_id,Unique global identifier for the participant,String,,,,
participant_external_id,Study-specific participant identifier,String,,,,
event_id,Unique identifier for the event,Integer,,,,
event_type,Type of event (e.g.Visit Diagnosis),String,,,,
condition_source_text,Original text describing condition or measure,String,,,,
age_at_condition,Age in days when the observation was recorded,Integer,,,,
condition_interpretation,How the condition was observed or assessed,String,,,,
condition_status,Status of the condition (e.g. History Of Active),String,,,,
condition_data_source,Source of the condition data (e.g. Self-Reported),String,,,,
hpo_label,Human Phenotype Ontology label,String,,,,
hpo_code,Human Phenotype Ontology code,String,,,,
mondo_label,MONDO disease ontology label,String,,,,
mondo_code,MONDO disease ontology code,String,,,,
maxo_label,Maximum Action Ontology label,String,,,,
maxo_code,Maximum Action Ontology code,String,,,,
other_label,Other ontology label,String,,,,
other_code,Other ontology code,String,,,,
measure_value,Value of the measured observation,String,,,,
measure_unit,Unit of the measured observation,String,,,,
